Layout,Width1,Width2,Mean_TET
MultiRoom,1.0,1.0,77.0
MultiRoom,1.0,1.2,72.32000000000001
MultiRoom,1.0,1.4,70.97999999999999
MultiRoom,1.0,1.6,72.6
MultiRoom,1.2,1.0,81.32000000000001
MultiRoom,1.2,1.2,74.16000000000001
MultiRoom,1.2,1.4,69.66000000000001
MultiRoom,1.2,1.6,70.82000000000001
MultiRoom,1.4,1.0,87.82000000000002
MultiRoom,1.4,1.2,74.26
MultiRoom,1.4,1.4,71.38
MultiRoom,1.4,1.6,70.7
MultiRoom,1.6,1.0,82.10000000000001
MultiRoom,1.6,1.2,80.02000000000001
MultiRoom,1.6,1.4,71.47999999999999
MultiRoom,1.6,1.6,70.52000000000001
